algorithm,step,optimizer_steps,sampled_actions,pair_presentations,expected_reward,best_action_probability,entropy,kl_reference,loss,value_loss,clip_fraction,old_policy_kl,zero_group_fraction
grpo,0,0,0,0,0.23333333333333334,0.3333333333333333,1.0986122886681096,0.0,0.0,0.0,0.0,0.0,0.0
grpo,1,4,128,0,0.38711767313524836,0.44350520099601604,1.0660911482502111,0.03252114041789875,-0.1255535894582945,0.0,0.5234375,0.03277721210842977,0.0
grpo,2,8,256,0,0.5360793149601348,0.5737525714266696,0.9707211112824128,0.12789117738569705,-0.15644558382014667,0.0,0.78125,0.03498603537527932,0.0
grpo,3,12,384,0,0.6747401389719972,0.700977156065375,0.8120725252574139,0.28653976341069587,-0.14963118913820295,0.0,1.0,0.03634535148305461,0.0
grpo,4,16,512,0,0.7855234085240625,0.8041244703811803,0.6276402970468555,0.47097199162125414,-0.11121218153951631,0.0,0.296875,0.030395874671360127,0.0625
grpo,5,20,640,0,0.8600992988338672,0.8727178507600561,0.46777224378674576,0.6308400448813641,-0.06359816396955431,0.0,0.171875,0.018735679903865977,0.1875
grpo,6,24,768,0,0.9074362926870339,0.916812336764371,0.34353510925238007,0.7550771794157298,-0.050850589730497775,0.0,0.140625,0.0112515722560813,0.1875
grpo,7,28,896,0,0.9356247779096726,0.9429338284338541,0.2582010986903877,0.8404111899777221,-0.010323008470054275,0.0,0.078125,0.005701297759862244,0.5625
grpo,8,32,1024,0,0.9537881913934974,0.9595866002001461,0.19720399596624943,0.9014082927018604,-0.011881740431808629,0.0,0.0859375,0.003274537848782983,0.5
grpo,9,36,1152,0,0.9654897479885318,0.9700983321004802,0.15501340692877175,0.943598881739338,0.0054628365345509855,0.0,0.046875,0.0017656840004541636,0.6875
grpo,10,40,1280,0,0.9726272842569413,0.9764161620437979,0.12781408951480366,0.9707981991533061,0.02047816425603092,0.0,0.015625,0.0008401434210574275,0.875
grpo,11,44,1408,0,0.9772246625084042,0.9804565058875996,0.10947971993980563,0.9891325687283042,0.022589266906194602,0.0,0.0078125,0.00043439968704417955,0.875
grpo,12,48,1536,0,0.9813154144452105,0.984064305695839,0.0925674136821483,1.0060448749859614,0.010807161048431844,0.0,0.0390625,0.000404059538686424,0.625
grpo,13,52,1664,0,0.9846042564020014,0.9869739265323745,0.07823924574681282,1.020373042921297,0.02031529180709859,0.0,0.015625,0.0003359661428183756,0.8125
grpo,14,56,1792,0,0.9867735190993301,0.9888692512698788,0.06849449290601375,1.030117795762096,0.02767611049783885,0.0,0.0078125,0.00018115223331968957,0.9375
grpo,15,60,1920,0,0.988203545646611,0.9900936580896935,0.06198183341898186,1.0366304552491277,0.028060657105514662,0.0,0.0,9.346110865129618e-05,0.9375
grpo,16,64,2048,0,0.9893226340011372,0.9910211383508463,0.05699902991422152,1.0416132587538884,0.02986393923048575,0.0,0.0,5.375678181860301e-05,0.9375
grpo,17,68,2176,0,0.9903951500658895,0.9919516220911829,0.051995508557846515,1.0466167801102633,0.027524378220976843,0.0,0.0,5.737423433669567e-05,0.875
grpo,18,72,2304,0,0.991253680339349,0.9927220047299267,0.047753143719265805,1.050859144948844,0.029601150342554804,0.0,0.0,4.4113176713459454e-05,0.9375
grpo,19,76,2432,0,0.9918109437885589,0.993223322100595,0.04493279239887161,1.0536794962692382,0.03160942353785751,0.0,0.0,2.114492844041532e-05,1.0
grpo,20,80,2560,0,0.9922209412598264,0.9935964714484773,0.042784411327751064,1.0558278773403589,0.029200038941880266,0.0,0.0,1.617861437816291e-05,0.9375
grpo,21,84,2688,0,0.9926693568588368,0.9939772403209022,0.040525160588584394,1.0580871280795254,0.02851631269463581,0.0,0.0,2.0636086851113825e-05,0.875
